open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1502964900000,310.62,310.62,310.62,310.62,5.42284,1502965199999,1684.4425608,17,5.42284,1684.4425608,0
1502965200000,310.62,310.62,310.47,310.47,12.5407,1502965499999,3894.428574,14,8.35417,2594.0086254,0
1502965500000,308.54,309.22,308.54,309.22,55.34158,1502965799999,17078.8304064,12,55.34158,17078.8304064,0
1502965800000,309.22,309.22,309.22,309.22,7.69906,1502966099999,2380.7033332,20,7.69906,2380.7033332,0
1502966100000,309.22,310.65,309.22,310.65,24.1642,1502966399999,7485.9052578,17,15.37307,4764.1529767,0
1502966400000,310.65,310.65,310.42,310.42,18.73284,1502966699999,5818.9548992,19,18.301,5684.8038032,0
1502966700000,310.42,310.97,310.42,310.97,33.72886,1502966999999,10477.1364742,20,33.72886,10477.1364742,0
1502967000000,310.97,310.97,309.3,309.3,72.67485,1502967299999,22510.3036213,16,72.67485,22510.3036213,0
1502967300000,309.3,309.3,309.3,309.3,13.66476,1502967599999,4226.510268,15,13.66476,4226.510268,0
1502967600000,308.3,308.3,307.84,308.3,78.2729,1502967899999,24109.1805604,14,78.2729,24109.1805604,0
1502967900000,308.3,308.3,307.78,307.78,17.45374,1502968199999,5372.0990216,18,17.09427,5261.2744206,0
1502968200000,307.78,308.39,307.78,308.39,14.18571,1502968499999,4370.7729791,11,13.3049,4099.505788,0
1502968500000,309.3,309.3,309.3,309.3,2.85867,1502968799999,884.186631,22,2.85867,884.186631,0
1502968800000,308.92,309.3,308.92,308.92,27.91283,1502969099999,8624.0942748,16,27.91283,8624.0942748,0
1502969100000,308.92,310.4,308.92,310.4,7.98512,1502969399999,2478.1594332,15,7.70011,2390.114144,0
1502969400000,310.4,310.68,310.4,310.51,8.22478,1502969699999,2554.4762312,13,5.58724,1735.7838152,0
1502969700000,310.51,310.51,308.39,309.56,58.629,1502969999999,18142.9432219,21,54.895,16991.4149619,0
1502970000000,309.56,309.56,309.56,309.56,8.65148,1502970299999,2678.1521488,8,8.65148,2678.1521488,0
1502970300000,309.56,309.56,308.39,309.56,9.27844,1502970599999,2865.1998464,15,3.26644,1011.1591664,0
1502970600000,309.56,309.56,308.95,308.95,35.83173,1502970899999,11075.0063574,28,26.34229,8140.5699039,0
1502970900000,308.95,308.95,308.95,308.95,4.006,1502971199999,1237.6537,16,4.006,1237.6537,0
1502971200000,308.95,309.42,308.75,309.42,61.68469,1502971499999,19049.465079,28,60.25766,18608.4338363,0
1502971500000,309.42,309.42,309.42,309.42,6.00632,1502971799999,1858.4755344,8,4.91975,1522.269045,0
1502971800000,310.51,310.51,310.05,310.45,37.36856,1502972099999,11591.2760746,21,33.58568,10417.1794224,0
1502972100000,310.45,310.45,310.05,310.45,9.53503,1502972399999,2960.1460635,12,9.53503,2960.1460635,0
1502972400000,309.72,309.72,307.98,309.72,23.46373,1502972699999,7246.1074454,34,19.18646,5921.4688854,0
1502972700000,309.62,309.62,308.07,308.76,66.86436,1502972999999,20617.2167644,20,60.33031,18599.4388708,0
1502973000000,308.62,308.62,308.03,308.03,43.89467,1502973299999,13538.6510898,16,43.89467,13538.6510898,0
